"Time","%"
2025-07-08 12:57:24,49
2025-07-08 12:57:24,49
2025-07-08 12:58:27,53
2025-07-08 12:58:27,53
2025-07-08 13:15:44,48.5
2025-07-08 13:15:44,48.5
2025-07-08 13:16:47,52.5
2025-07-08 13:16:47,52.5
2025-07-08 13:17:50,54
2025-07-08 13:17:50,54
2025-07-08 13:18:53,54.5
2025-07-08 13:18:53,54.5
2025-07-08 13:19:56,54.5
2025-07-08 13:19:56,54.5
2025-07-08 13:20:59,54.5
2025-07-08 13:20:59,54.5
2025-07-08 13:22:11,47.5
2025-07-08 13:22:11,47.5
2025-07-08 13:23:14,51.5
2025-07-08 13:23:14,51.5
2025-07-08 13:24:17,53
2025-07-08 13:24:17,53
2025-07-08 13:25:20,53
2025-07-08 13:25:20,53
2025-07-08 13:26:23,53
2025-07-08 13:26:23,53
2025-07-08 13:27:26,53
2025-07-08 13:28:29,53
2025-07-08 13:29:32,52.5
2025-07-08 13:29:32,52.5
2025-07-08 13:30:35,52.5
2025-07-08 13:30:35,52.5
2025-07-08 13:32:41,52
2025-07-08 13:32:41,52
2025-07-08 13:33:44,52
2025-07-08 13:33:44,52
2025-07-08 13:34:47,52
2025-07-08 13:34:47,52
2025-07-08 13:35:50,52
2025-07-08 13:35:50,52
2025-07-08 13:36:53,51.5
2025-07-08 13:36:53,51.5
2025-07-08 13:37:56,51.5
2025-07-08 13:37:56,51.5
2025-07-08 13:38:59,51.5
2025-07-08 13:38:59,51.5
2025-07-08 13:40:02,51.5
2025-07-08 13:40:02,51.5
2025-07-08 13:41:05,51
2025-07-08 13:41:05,51
2025-07-08 13:42:08,51
2025-07-08 13:43:11,51
2025-07-08 13:43:11,51
2025-07-08 13:44:14,51
2025-07-08 13:44:14,51
2025-07-08 13:45:16,51
2025-07-08 13:45:16,51
2025-07-08 13:46:19,51
2025-07-08 13:47:22,50.5
2025-07-08 13:47:22,50.5
2025-07-08 13:48:25,50.5
2025-07-08 13:48:25,50.5
2025-07-08 13:49:28,50.5
2025-07-08 13:50:31,50.5
2025-07-08 13:50:31,50.5
2025-07-08 13:51:34,50.5
2025-07-08 13:51:34,50.5
2025-07-08 13:52:37,50.5
2025-07-08 13:52:37,50.5
2025-07-08 13:53:40,50.5
2025-07-08 13:53:40,50.5
2025-07-08 13:54:43,50.5
2025-07-08 13:54:43,50.5
2025-07-08 13:55:46,50.5
2025-07-08 13:56:49,50.5
2025-07-08 13:56:49,50.5
2025-07-08 13:57:52,50.5
2025-07-08 13:57:52,50.5
2025-07-08 13:58:55,50
2025-07-08 13:58:55,50
2025-07-08 13:59:47,44
2025-07-08 13:59:47,44
2025-07-08 14:00:50,48
2025-07-08 14:00:50,48
2025-07-08 14:02:56,50
2025-07-08 14:02:56,50
2025-07-08 14:03:59,50
2025-07-08 14:03:59,50
2025-07-08 14:05:02,50
2025-07-08 14:05:02,50
2025-07-08 14:06:05,50
2025-07-08 14:06:05,50
2025-07-08 14:07:08,50
2025-07-08 14:07:08,50
2025-07-08 14:08:11,50
2025-07-08 14:08:11,50
2025-07-08 14:09:14,50
2025-07-08 14:09:14,50
2025-07-08 14:10:17,50
2025-07-08 14:10:17,50
2025-07-08 14:11:20,50
2025-07-08 14:12:23,50
2025-07-08 14:12:23,50
2025-07-08 14:13:26,50
2025-07-08 14:13:26,50
2025-07-08 14:14:29,50
2025-07-08 14:14:29,50
2025-07-08 14:15:32,50
2025-07-08 14:15:32,50
2025-07-08 14:16:35,50
2025-07-08 14:16:35,50
2025-07-08 14:17:38,49.5
2025-07-08 14:17:38,49.5
2025-07-08 14:18:46,43.5
2025-07-08 14:19:49,47.5
2025-07-08 14:19:49,47.5
2025-07-08 14:20:52,49
2025-07-08 14:20:52,49
2025-07-08 14:21:55,49.5
2025-07-08 14:21:55,49.5
2025-07-08 14:22:58,49.5
2025-07-08 14:22:58,49.5
2025-07-08 14:24:01,49.5
2025-07-08 14:24:01,49.5
2025-07-08 14:25:04,49.5
2025-07-08 14:25:04,49.5
2025-07-08 14:26:07,49.5
2025-07-08 14:26:07,49.5
2025-07-08 14:27:10,49.5
2025-07-08 14:27:10,49.5
2025-07-08 14:28:13,49.5
2025-07-08 14:28:13,49.5
2025-07-08 14:29:16,49.5
2025-07-08 14:29:16,49.5
2025-07-08 14:31:22,49.5
2025-07-08 14:32:25,49.5
2025-07-08 14:32:25,49.5
2025-07-08 14:33:27,49.5
2025-07-08 14:33:27,49.5
2025-07-08 14:34:30,49.5
2025-07-08 14:34:30,49.5
2025-07-08 15:29:11,45.5
2025-07-08 15:29:11,45.5
2025-07-08 15:30:14,49.5
2025-07-08 15:30:14,49.5
2025-07-08 15:31:47,45.5
2025-07-08 15:31:47,45.5
2025-07-08 16:45:24,45.5
2025-07-08 16:45:24,45.5
2025-07-08 16:46:27,49.5
2025-07-08 16:46:27,49.5
2025-07-08 16:47:30,51
2025-07-08 16:47:30,51
2025-07-08 16:48:33,51
2025-07-08 16:48:33,51
2025-07-08 16:49:36,51
2025-07-08 16:49:36,51
2025-07-08 16:50:39,51
2025-07-08 16:50:39,51
2025-07-08 16:51:41,50.5
2025-07-08 16:52:44,50.5
2025-07-08 16:52:44,50.5
2025-07-08 16:53:48,50
2025-07-08 16:53:48,50
2025-07-08 16:54:50,50
2025-07-08 16:54:50,50
2025-07-08 16:55:53,49.5
2025-07-08 16:56:56,49.5
2025-07-08 16:56:56,49.5
2025-07-08 16:58:39,44.5
2025-07-08 16:58:39,44.5
2025-07-08 16:59:42,47
2025-07-08 16:59:42,47
2025-07-08 17:00:45,48
2025-07-08 17:00:45,48
2025-07-08 17:01:48,48
2025-07-08 17:01:48,48
2025-07-08 17:02:51,48
2025-07-08 17:02:51,48
2025-07-08 17:03:54,48
2025-07-08 17:03:54,48
2025-07-08 17:04:57,47.5
2025-07-08 17:04:57,47.5
2025-07-08 17:06:00,47.5
2025-07-08 17:06:00,47.5
2025-07-08 17:07:03,47.5
2025-07-08 17:07:03,47.5
2025-07-08 17:08:06,47
2025-07-08 17:09:09,47
2025-07-08 17:10:12,47
2025-07-08 17:10:12,47
2025-07-08 17:11:15,47
2025-07-08 17:11:15,47
2025-07-08 17:12:18,46.5
2025-07-08 17:12:18,46.5
2025-07-08 17:13:21,46.5
2025-07-08 17:13:21,46.5
2025-07-08 17:14:23,46.5
2025-07-08 17:14:23,46.5
2025-07-08 17:15:26,46.5
2025-07-08 17:15:26,46.5
2025-07-08 17:16:29,46.5
2025-07-08 17:17:32,46.5
2025-07-08 17:17:32,46.5
2025-07-08 17:18:35,46
2025-07-08 17:18:35,46
2025-07-08 17:19:38,46
2025-07-08 17:19:38,46
2025-07-08 17:20:41,46
2025-07-08 17:20:41,46
2025-07-08 17:21:44,46
2025-07-08 17:21:44,46
2025-07-08 17:22:47,46
2025-07-08 17:22:47,46
2025-07-08 17:23:50,45.5
2025-07-08 17:23:50,45.5
2025-07-08 17:24:53,45.5
2025-07-08 17:24:53,45.5
2025-07-08 17:25:56,45.5
2025-07-08 17:25:56,45.5
2025-07-08 17:27:18,40
2025-07-08 17:27:18,40
2025-07-08 17:28:21,43.5
2025-07-08 17:28:21,43.5
2025-07-08 17:30:26,39.5
2025-07-08 17:30:26,39.5
2025-07-08 17:31:29,43
2025-07-08 17:31:29,43
2025-07-08 17:32:32,44.5
2025-07-08 17:32:32,44.5
2025-07-08 17:33:35,45
2025-07-08 17:33:35,45
2025-07-08 17:34:38,45
2025-07-08 17:34:38,45
2025-07-08 17:36:19,39.5
2025-07-08 17:36:19,39.5
2025-07-08 17:37:22,43
2025-07-08 17:37:22,43
2025-07-08 17:38:25,44
2025-07-08 17:38:25,44
2025-07-08 17:39:28,44.5
2025-07-08 17:39:28,44.5
2025-07-08 17:40:31,45
2025-07-08 17:40:31,45
2025-07-08 17:41:34,45
2025-07-08 17:41:34,45
2025-07-08 17:43:40,44.5
2025-07-08 17:43:40,44.5
2025-07-08 17:44:43,44.5
2025-07-08 17:44:43,44.5
2025-07-08 17:45:46,44.5
2025-07-08 17:45:46,44.5
2025-07-08 17:46:49,44.5
2025-07-08 17:46:49,44.5
2025-07-08 17:47:52,44.5
2025-07-08 17:47:52,44.5
2025-07-08 17:48:55,44.5
2025-07-08 17:48:55,44.5
2025-07-08 17:50:48,40.5
2025-07-08 17:50:48,40.5
2025-07-08 17:51:51,43
2025-07-08 17:51:51,43
2025-07-08 17:53:32,40.5
2025-07-08 17:53:32,40.5
2025-07-08 17:54:35,43
2025-07-08 17:54:35,43
2025-07-08 17:55:38,43.5
2025-07-08 17:56:41,44
2025-07-08 17:56:41,44
2025-07-08 17:57:44,44
2025-07-08 17:57:44,44
2025-07-08 17:58:47,44
2025-07-08 17:58:47,44
2025-07-08 17:59:50,44
2025-07-08 18:00:53,44
2025-07-08 18:00:53,44
2025-07-08 18:01:56,43.5
2025-07-08 18:01:56,43.5
2025-07-08 18:02:59,43.5
2025-07-08 18:04:02,43.5
2025-07-08 18:04:02,43.5
2025-07-08 18:05:05,43.5
2025-07-08 18:05:05,43.5
2025-07-08 18:06:40,38
2025-07-08 18:06:40,38
2025-07-08 18:07:43,41.5
2025-07-08 18:07:43,41.5
2025-07-08 18:08:46,42.5
2025-07-08 18:08:46,42.5
2025-07-08 18:09:49,43
2025-07-08 18:09:49,43
2025-07-08 18:10:52,43
2025-07-08 18:10:52,43
2025-07-08 18:11:55,43
2025-07-08 18:11:55,43
2025-07-08 18:12:58,43
2025-07-08 18:12:58,43
2025-07-08 18:14:01,43
2025-07-08 18:14:01,43
2025-07-08 18:15:04,43
2025-07-08 18:15:04,43
2025-07-08 18:16:07,43
2025-07-08 18:16:07,43
2025-07-08 18:17:10,43
2025-07-08 18:17:10,43
2025-07-08 18:18:13,43
2025-07-08 18:18:13,43
2025-07-08 18:19:16,42.5
2025-07-08 18:20:19,42.5
2025-07-08 18:20:19,42.5
2025-07-08 18:21:22,42.5
2025-07-08 18:21:22,42.5
2025-07-08 18:22:25,42.5
2025-07-08 18:22:25,42.5
2025-07-08 18:23:28,42.5
2025-07-08 18:23:28,42.5
2025-07-08 18:24:31,42.5
2025-07-08 18:24:31,42.5
2025-07-08 18:25:34,42.5
2025-07-08 18:25:34,42.5
2025-07-08 18:26:38,42.5
2025-07-08 18:26:38,42.5
2025-07-08 18:27:40,42
2025-07-08 18:27:40,42
2025-07-08 18:28:43,42
2025-07-08 18:28:43,42
2025-07-08 18:29:46,42
2025-07-08 18:29:46,42
2025-07-08 18:30:50,42
2025-07-08 18:30:50,42
2025-07-08 18:31:53,42
2025-07-08 18:31:53,42
2025-07-08 18:32:56,42.5
2025-07-08 18:32:56,42.5
2025-07-08 18:33:59,42
2025-07-08 18:33:59,42
2025-07-08 18:35:02,42
2025-07-08 18:35:02,42
2025-07-08 18:36:05,42.5
2025-07-08 18:36:05,42.5
2025-07-08 18:37:08,42.5
2025-07-08 18:38:11,42.5
2025-07-08 18:38:11,42.5
2025-07-08 18:39:14,42.5
2025-07-08 18:40:17,42.5
2025-07-08 18:40:17,42.5
2025-07-08 18:41:20,42.5
2025-07-08 18:41:20,42.5
2025-07-08 18:42:23,42.5
2025-07-08 18:42:23,42.5
2025-07-08 18:43:26,42.5
2025-07-08 18:43:26,42.5
2025-07-08 18:44:29,42.5
2025-07-08 18:44:29,42.5
2025-07-08 18:45:32,42.5
2025-07-08 18:45:32,42.5
2025-07-08 18:46:35,42.5
2025-07-08 18:46:35,42.5
2025-07-08 18:47:38,42.5
2025-07-08 18:47:38,42.5
2025-07-08 18:48:41,42.5
2025-07-08 18:48:41,42.5
2025-07-08 18:49:44,42.5
2025-07-08 18:49:44,42.5
2025-07-08 18:50:47,42.5
2025-07-08 18:50:47,42.5
2025-07-08 18:51:50,42.5
2025-07-08 18:51:50,42.5
2025-07-08 18:52:53,42.5
2025-07-08 18:52:53,42.5
2025-07-08 18:53:56,42.5
2025-07-08 18:53:56,42.5
2025-07-08 18:54:59,42.5
2025-07-08 18:54:59,42.5
2025-07-08 18:56:02,42.5
2025-07-08 18:56:02,42.5
2025-07-08 18:57:05,42.5
2025-07-08 18:57:05,42.5
2025-07-08 18:58:08,42.5
2025-07-08 18:58:08,42.5
2025-07-08 18:59:11,42
2025-07-08 18:59:11,42
2025-07-08 19:00:14,42
2025-07-08 19:00:14,42
2025-07-08 19:01:17,42
2025-07-08 19:01:17,42
2025-07-08 19:02:20,42
2025-07-08 19:02:20,42
2025-07-08 19:03:23,42
2025-07-08 19:03:23,42
2025-07-08 19:04:26,42.5
2025-07-08 19:05:29,42.5
2025-07-08 19:05:29,42.5
2025-07-08 19:06:32,42.5
2025-07-08 19:06:32,42.5
2025-07-08 19:07:35,42.5
2025-07-08 19:07:35,42.5
2025-07-08 19:08:38,42.5
2025-07-08 19:08:38,42.5
2025-07-08 19:09:41,42.5
2025-07-08 19:09:41,42.5
2025-07-08 19:10:44,42.5
2025-07-08 19:10:44,42.5
2025-07-08 19:11:47,42.5
2025-07-08 19:11:47,42.5
2025-07-08 19:12:50,42.5
2025-07-08 19:12:50,42.5
2025-07-08 19:13:53,42.5
2025-07-08 19:13:53,42.5
2025-07-08 19:14:56,42.5
2025-07-08 19:14:56,42.5
2025-07-08 19:16:54,37
2025-07-08 19:16:54,37
2025-07-08 19:17:57,40.5
2025-07-08 19:17:57,40.5
2025-07-08 19:19:00,41.5
2025-07-08 19:19:00,41.5
2025-07-08 19:20:03,42
2025-07-08 19:20:03,42
2025-07-08 19:21:06,42
2025-07-08 19:21:06,42
2025-07-08 19:22:09,42
2025-07-08 19:22:09,42
2025-07-08 19:23:12,42
2025-07-08 19:23:12,42
2025-07-08 19:24:15,42
2025-07-08 19:24:15,42
2025-07-08 19:25:18,42
2025-07-08 19:25:18,42
2025-07-08 19:26:21,42
2025-07-08 19:26:21,42
2025-07-08 19:27:24,42
2025-07-08 19:27:24,42
2025-07-08 19:28:27,42
2025-07-08 19:29:30,42
2025-07-08 19:29:30,42
2025-07-08 19:30:33,42
2025-07-08 19:31:36,42
2025-07-08 19:32:39,42
2025-07-08 19:32:39,42
2025-07-08 19:33:42,41.5
2025-07-08 19:33:42,41.5
2025-07-08 19:34:45,41.5
2025-07-08 19:34:45,41.5
2025-07-08 19:35:48,41.5
2025-07-08 19:35:48,41.5
2025-07-08 19:36:51,41.5
2025-07-08 19:36:51,41.5
2025-07-08 19:37:54,41.5
2025-07-08 19:37:54,41.5
2025-07-08 19:38:57,41.5
2025-07-08 19:40:00,41.5
2025-07-08 19:41:03,41.5
2025-07-08 19:41:03,41.5
2025-07-08 19:42:05,41.5
2025-07-08 19:42:05,41.5
2025-07-08 19:43:08,41.5
2025-07-08 19:43:08,41.5
2025-07-08 19:44:11,41.5
2025-07-08 19:44:11,41.5
2025-07-08 19:45:14,41.5
2025-07-08 19:45:14,41.5
2025-07-08 19:46:17,41.5
2025-07-08 19:46:17,41.5
2025-07-08 19:47:20,41.5
2025-07-08 19:47:20,41.5
2025-07-08 19:48:23,41.5
2025-07-08 19:48:23,41.5
2025-07-08 19:49:26,41.5
2025-07-08 19:49:26,41.5
2025-07-08 19:50:29,41.5
2025-07-08 19:50:29,41.5
2025-07-08 19:51:32,41.5
2025-07-08 19:51:32,41.5
2025-07-08 19:52:35,41.5
2025-07-08 19:53:38,41.5
2025-07-08 19:53:38,41.5
2025-07-08 19:54:41,41
2025-07-08 19:54:41,41
2025-07-08 19:55:44,41.5
2025-07-08 19:55:44,41.5
2025-07-08 19:56:47,41
2025-07-08 19:56:47,41
2025-07-08 19:57:50,41
2025-07-08 19:57:50,41
2025-07-08 19:58:53,41
2025-07-08 19:58:53,41
2025-07-08 19:59:56,41
2025-07-08 19:59:56,41
2025-07-08 20:00:59,41
2025-07-08 20:02:02,41
2025-07-08 20:02:02,41
2025-07-08 20:03:05,41
2025-07-08 20:03:05,41
2025-07-08 20:04:08,41
2025-07-08 20:04:08,41
2025-07-08 20:05:11,41
2025-07-08 20:05:11,41
2025-07-08 20:06:14,41
2025-07-08 20:06:14,41
2025-07-08 20:07:17,41
2025-07-08 20:07:17,41
2025-07-08 20:08:20,41
2025-07-08 20:08:20,41
2025-07-08 20:09:23,41
2025-07-08 20:09:23,41
2025-07-08 20:10:25,41
2025-07-08 20:10:25,41
2025-07-08 20:11:28,41
2025-07-08 20:11:28,41
2025-07-08 20:12:31,41
2025-07-08 20:12:31,41
2025-07-08 20:13:34,41
2025-07-08 20:13:34,41
2025-07-08 20:14:37,41
2025-07-08 20:15:40,41
2025-07-08 20:15:40,41
2025-07-08 20:16:43,41
2025-07-08 20:16:43,41
2025-07-08 20:17:46,41
2025-07-08 20:17:46,41
2025-07-08 20:18:45,35.5
2025-07-08 20:18:45,35.5
2025-07-08 20:19:48,39
2025-07-08 20:19:48,39
2025-07-08 20:20:51,40
2025-07-08 20:20:51,40
2025-07-08 20:21:54,40.5
2025-07-08 20:21:54,40.5
2025-07-08 20:22:57,40.5
2025-07-08 20:22:57,40.5
2025-07-08 20:24:00,40.5
2025-07-08 20:24:00,40.5
2025-07-08 20:25:03,40.5
2025-07-08 20:25:03,40.5
2025-07-08 20:26:06,40.5
2025-07-08 20:26:06,40.5
2025-07-08 20:27:09,40.5
2025-07-08 20:27:09,40.5
2025-07-08 20:28:12,40.5
2025-07-08 20:28:12,40.5
2025-07-08 20:29:15,40.5
2025-07-08 20:30:18,40.5
2025-07-08 20:30:18,40.5
2025-07-08 20:31:21,40.5
2025-07-08 20:31:21,40.5
2025-07-08 20:32:24,40.5
2025-07-08 20:32:24,40.5
2025-07-08 20:33:27,40.5
2025-07-08 20:33:27,40.5
2025-07-08 20:34:30,40.5
2025-07-08 20:34:30,40.5
2025-07-08 20:35:33,40.5
2025-07-08 20:35:33,40.5
2025-07-08 20:36:36,40.5
2025-07-08 20:36:36,40.5
2025-07-08 20:37:39,40.5
2025-07-08 20:37:39,40.5
2025-07-08 20:38:42,40.5
2025-07-08 20:38:42,40.5
2025-07-08 20:39:45,40.5
2025-07-08 20:39:45,40.5
2025-07-08 20:40:48,40.5
2025-07-08 20:40:48,40.5
2025-07-08 20:41:51,40.5
2025-07-08 20:41:51,40.5
2025-07-08 20:42:54,40.5
2025-07-08 20:42:54,40.5
2025-07-08 20:43:57,40.5
